food_name,calories,carbohydrates,protein,fat
scrambled eggs (2 large),180.0,2.0,12.0,14.0
whole wheat toast (1 slice),80.0,14.0,4.0,1.0
coffee (black),5.0,0.0,0.3,0.1
banana,105.0,27.0,1.3,0.4
grilled chicken salad,350.0,10.0,30.0,20.0
apple,95.0,25.0,0.5,0.3
salmon (4oz grilled),230.0,0.0,25.0,14.0
quinoa (1 cup cooked),222.0,39.0,8.0,3.6
steamed broccoli (1 cup),55.0,11.2,3.7,0.6
greek yogurt (plain 1 cup),150.0,8.0,25.0,3.0
oatmeal (1 cup cooked),160.0,28.0,6.0,3.0
blueberries (1/2 cup),42.0,11.0,0.5,0.2
almonds (1 oz),164.0,6.0,6.0,14.0
turkey sandwich (on wheat),340.0,34.0,22.0,12.0
carrot sticks (1 cup),52.0,12.3,1.2,0.3
spaghetti bolognese,460.0,55.0,20.0,18.0
side salad (light dressing),70.0,8.0,2.0,4.0
protein shake (whey),120.0,3.0,24.0,1.0
cereal (frosted flakes 1 cup),130.0,31.0,2.0,0.0
lentil soup (1 can),230.0,35.0,15.0,3.0
white rice (1 cup cooked),204.0,44.5,4.2,0.4
tofu stir-fry,400.0,30.0,18.0,22.0
orange,62.0,15.4,1.2,0.2
bagel (plain),270.0,55.0,11.0,1.5
cream cheese (2 tbsp),100.0,2.0,2.0,10.0
tuna salad (1/2 cup),190.0,2.0,19.0,12.0
crackers (5 whole wheat),90.0,14.0,2.0,3.0
beef steak (6oz sirloin),270.0,0.0,42.0,10.0
baked potato (medium),160.0,36.0,4.3,0.2
ice cream (1/2 cup vanilla),145.0,17.0,2.5,7.5
pizza (1 slice pepperoni),290.0,34.0,12.0,12.0
avocado toast (1 slice),260.0,28.0,7.0,15.0
hard-boiled egg (1 large),78.0,0.6,6.3,5.3
chicken wrap (with tortilla),410.0,38.0,25.0,17.0
grapes (1 cup),104.0,27.0,1.1,0.2
cottage cheese (1/2 cup),90.0,5.0,12.0,3.0
burger (cheeseburger),550.0,40.0,30.0,30.0
french fries (medium),340.0,44.0,4.0,17.0
protein bar,210.0,22.0,20.0,7.0
black beans (1/2 cup),114.0,20.4,7.6,0.5
salsa (1/4 cup),20.0,4.5,0.8,0.1
chicken noodle soup (1 can),150.0,18.0,7.0,5.0
peanut butter (2 tbsp),190.0,8.0,7.0,16.0
celery sticks (1 cup),14.0,3.0,0.6,0.2
cod (4oz baked),95.0,0.0,20.0,0.8
green beans (1 cup),31.0,7.0,1.8,0.2
chocolate chip cookie (1 large),220.0,30.0,2.5,11.0
shrimp (3oz steamed),84.0,0.2,20.0,0.2
pancakes (2 medium),180.0,30.0,5.0,5.0
maple syrup (2 tbsp),104.0,27.0,0.0,0.0
sausage link (1 cooked),85.0,1.0,5.0,7.0
smoothie (fruit & yogurt),280.0,55.0,12.0,3.0
tofu (4oz firm),90.0,3.0,10.0,5.0
brown rice (1 cup cooked),215.0,45.0,5.0,1.8
bell pepper (1 medium red),31.0,6.0,1.2,0.3
hummus (2 tbsp),70.0,4.0,2.0,5.0
pita bread (1 whole wheat),170.0,35.0,6.0,1.5
pork chop (4oz grilled),220.0,0.0,30.0,10.0
mashed potatoes (1 cup),230.0,35.0,4.0,8.0
corn (1 cup),132.0,30.0,4.7,1.8
soda (1 can coke),140.0,39.0,0.0,0.0
pretzels (1 oz),110.0,23.0,3.0,1.0
cheddar cheese (1 oz),115.0,1.0,7.0,9.5
caesar salad (with chicken),470.0,15.0,30.0,30.0
orange juice (1 cup),112.0,25.8,1.7,0.5
bacon (2 slices cooked),86.0,0.2,6.0,6.8
waffles (2 homemade),220.0,28.0,6.0,9.0
pear,101.0,27.0,0.6,0.2
chicken breast (4oz roasted),185.0,0.0,35.0,4.0
mixed nuts (1/4 cup),200.0,8.0,6.0,18.0
tilapia (4oz baked),110.0,0.0,22.0,2.5
asparagus (1 cup steamed),40.0,7.4,4.3,0.4
sweet potato (1 medium baked),103.0,23.6,2.3,0.2
popcorn (3 cups air-popped),93.0,18.6,3.0,1.1
raisins (1/4 cup),130.0,34.0,1.3,0.2
macaroni & cheese (1 cup),350.0,40.0,10.0,17.0
tomato soup (1 can),170.0,25.0,4.0,6.0
grilled cheese sandwich,390.0,32.0,15.0,22.0
beef tacos (2 hard shell),380.0,28.0,18.0,22.0
refried beans (1/2 cup),115.0,19.0,7.0,1.0
guacamole (1/4 cup),90.0,4.0,1.0,8.0
watermelon (1 cup diced),46.0,11.5,0.9,0.2
english muffin (whole wheat),134.0,26.0,6.0,1.0
peanut butter & jelly sandwich,390.0,50.0,12.0,17.0
clam chowder (1 cup),200.0,18.0,10.0,9.0
iced tea (sweetened 16oz),180.0,46.0,0.0,0.0
lasagna (1 serving meat),350.0,30.0,20.0,17.0
garlic bread (1 slice),150.0,18.0,4.0,7.0
chocolate milk (1 cup),200.0,26.0,8.0,8.0
white bread (1 slice),70.0,13.0,2.0,1.0
jelly (1 tbsp grape),50.0,13.0,0.0,0.0
veggie burger (1 patty),120.0,10.0,11.0,4.0
bun (hamburger),140.0,26.0,4.0,2.0
ketchup (1 tbsp),20.0,5.0,0.2,0.1
muffin (blueberry 1 large),380.0,55.0,5.0,16.0
coffee (with cream/sugar),50.0,5.0,0.5,3.0
potato chips (1 oz),160.0,15.0,2.0,10.0
tzatziki sauce (2 tbsp),30.0,2.0,1.5,2.0
scallops (3oz seared),95.0,5.0,17.0,1.0
risotto (mushroom 1 cup),250.0,35.0,7.0,9.0
caprese salad,240.0,8.0,10.0,18.0
balsamic vinaigrette (2 tbsp),90.0,3.0,0.0,9.0
cherries (1 cup),77.0,19.0,1.6,0.5
turkey bacon (2 slices),70.0,1.0,6.0,5.0
grits (1 cup cooked),150.0,32.0,3.0,1.0
butter (1 tbsp),100.0,0.0,0.1,11.0
meatball sub (6 inch),580.0,55.0,28.0,27.0
kiwifruit (1 medium),46.0,11.1,0.9,0.4
beef jerky (1 oz),116.0,3.1,9.4,7.2
figs (2 medium),74.0,19.2,0.6,0.3
lobster (3oz steamed),76.0,0.0,16.0,0.7
melted butter (for lobster),200.0,0.0,0.2,22.0
corn on the cob (1 large),125.0,29.0,5.0,1.5
vegetable soup (1 can),140.0,22.0,4.0,4.0
saltine crackers (5 crackers),60.0,10.0,1.0,1.5
mango (1 cup slices),99.0,24.7,1.4,0.6
cheesecake (1 slice),320.0,28.0,5.0,21.0
