Exercise,MET
Walking slow,2.0
Walking moderate,3.5
Walking brisk,4.3
Hiking,5.3
Hiking with backpack,7.0
Running 5 mph,8.3
Running 6 mph,9.8
Running 7.5 mph,11.0
Running 10 mph,14.5
Cycling leisure,4.0
Cycling moderate,8.0
Cycling vigorous,12.0
Cycling racing,16.0
Stationary bike light,3.5
Stationary bike vigorous,10.5
Elliptical trainer,5.0
Rowing machine moderate,7.0
Rowing machine vigorous,8.5
Jump rope moderate,10.0
Jump rope fast,12.3
Stair climbing slow,4.0
Stair climbing fast,8.8
Aerobics low impact,5.0
Aerobics high impact,7.3
Zumba,7.5
Weight lifting light,3.0
Weight lifting vigorous,6.0
Bodyweight exercises,3.8
Push-ups,3.8
Pull-ups,4.0
Burpees,8.0
Kettlebell swings,9.0
CrossFit,9.0
Yoga hatha,2.5
Yoga power,4.0
Pilates beginner,3.0
Pilates advanced,4.8
Stretching,2.3
Swimming leisure,6.0
Swimming moderate,8.3
Swimming competitive,10.0
Water aerobics,5.5
Basketball,8.0
Soccer,7.0
Tennis singles,8.0
Tennis doubles,5.0
Badminton,4.5
Volleyball,8.0
Football,8.0
Golf,4.8
Rock climbing,8.0
Boxing,9.0
Martial arts,10.3
Tai chi,3.0
Skiing downhill,6.8
Cross-country skiing,9.0
