Age,Gender,Daily Calories Consumed,Daily Caloric Surplus/Deficit,Physical Activity Level,Sleep Quality,Current Weight (kg),Final Weight (kg)
56,M,3916.0,813.7,Sedentary,Excellent,103.6004128,103.6911312
46,F,3823.0,1547.5,Very Active,Excellent,75.0241168,76.1127376
32,F,2785.4,666.0,Sedentary,Good,64.7729376,65.40796639999999
25,F,2587.3,406.0,Sedentary,Fair,65.997636,66.3605096
38,M,3312.8,849.0,Lightly Active,Good,70.533556,71.44074
56,F,2262.4,161.9,Sedentary,Poor,69.3542168,63.684316800000005
36,M,2933.4,942.1,Moderately Active,Poor,48.6704216,47.5818008
40,M,4000.0,1022.1,Moderately Active,Poor,94.3017768,78.10854239999999
28,F,3890.2,1483.4,Very Active,Poor,76.883844,73.028312
28,F,2485.8,82.5,Sedentary,Excellent,76.74776639999999,76.74776639999999
41,M,4000.0,1160.9,Very Active,Poor,88.223644,85.955684
53,M,3604.9,1387.6,Moderately Active,Excellent,62.777132800000004,63.684316800000005
57,F,2803.1,764.1,Sedentary,Excellent,66.8141016,67.358412
41,F,2845.0,361.3,Sedentary,Poor,83.32485039999999,81.9187152
20,F,3885.8,1453.6,Very Active,Poor,76.2488152,75.2055536
39,M,4000.0,1292.8,Moderately Active,Fair,81.7826376,81.96407439999999
19,M,3252.4,572.7,Sedentary,Good,76.0220192,76.5663296
41,M,4000.0,1478.7,Very Active,Poor,73.8447776,71.894332
47,M,4000.0,1006.2,Moderately Active,Fair,96.615096,96.7511736
55,M,4000.0,1156.5,Very Active,Fair,91.625584,92.5781272
19,M,3086.2,1082.5,Lightly Active,Good,45.3592,46.5838984
38,F,3274.1,468.5,Sedentary,Excellent,97.2501248,97.43156160000001
50,M,4000.0,803.6,Lightly Active,Poor,106.5034016,105.32406239999999
29,M,4000.0,976.7,Moderately Active,Good,93.893544,94.7100096
39,M,3355.7,816.3,Lightly Active,Poor,74.2076512,63.956472
42,F,2882.6,747.8,Lightly Active,Fair,67.7212856,67.9934408
44,M,4000.0,1202.9,Moderately Active,Fair,86.9989456,88.6318768
59,M,3877.8,1559.8,Very Active,Excellent,68.6738288,66.9955384
45,F,3236.0,802.7,Lightly Active,Fair,81.96407439999999,82.5991032
33,M,4000.0,1372.8,Very Active,Fair,76.79312560000001,78.7889304
32,M,4000.0,995.8,Lightly Active,Good,93.666748,95.027524
20,M,4000.0,1418.1,Very Active,Poor,71.8036136,70.80571119999999
54,M,3648.8,1252.9,Moderately Active,Poor,71.07786639999999,69.853168
24,M,3944.2,1152.0,Lightly Active,Good,82.2362296,77.791028
38,F,4000.0,1058.3,Moderately Active,Excellent,103.418976,103.82720880000001
26,F,3379.8,934.0,Lightly Active,Poor,78.1992608,77.8817464
56,F,3521.7,1375.1,Moderately Active,Fair,71.44074,73.61798160000001
35,M,4000.0,1119.0,Moderately Active,Poor,88.7679544,74.1169328
